classe età,nome,frequenza
10-19,MATILDE,234
10-19,ELENA,233
10-19,CAMILLA,228
10-19,ELEONORA,219
10-19,ELISA,216
10-19,ALICE,183
10-19,ILARIA,169
10-19,CATERINA,163
10-19,GINEVRA,161
10-19,VIOLA,161
10-19,MARGHERITA,161
10-19,GAIA,150
10-19,REBECCA,141
10-19,VALENTINA,140
10-19,BIANCA,138
10-19,LUCREZIA,131
10-19,MARTA,131
10-19,LAURA,127
10-19,GIADA,124
10-19,EMMA,121
10-19,BENEDETTA,120
10-19,COSTANZA,119
10-19,CLAUDIA,118
10-19,FEDERICA,117
10-19,ARIANNA,114
10-19,ANNA,112
10-19,BEATRICE,109
10-19,AURORA,100
10-19,VIRGINIA,100
10-19,SILVIA,97
10-19,ASIA,88
10-19,SERENA,82
10-19,LISA,81
10-19,CAROLINA,78
10-19,NOEMI,77
10-19,VITTORIA,72
10-19,ALESSANDRA,72
10-19,CARLOTTA,71
10-19,GIORGIA,67
10-19,DILETTA,60
10-19,LETIZIA,54
10-19,SABRINA,52
10-19,TERESA,51
10-19,RACHELE,47
10-19,LAVINIA,46
10-19,MARIA,45
10-19,GRETA,42
10-19,EVA,42
10-19,VERONICA,41
10-19,ISABELLA,40
10-19,LIVIA,39
10-19,GEMMA,38
10-19,LUDOVICA,38
10-19,ERIKA,37
10-19,ELISABETTA,37
10-19,ALLEGRA,36
10-19,LINDA,35
10-19,CECILIA,34
10-19,VANESSA,33
10-19,CRISTINA,33
10-19,JESSICA,32
10-19,MICHELA,32
10-19,MADDALENA,30
10-19,SIMONA,28
10-19,LUCIA,28
10-19,DANIELA,27
10-19,OLIVIA,27
10-19,CLARA,27
10-19,MELISSA,27
10-19,NICOLE,26
10-19,AGNESE,26
10-19,GIUDITTA,26
10-19,CLARISSA,25
10-19,LARA,25
10-19,ADELE,25
10-19,ANNALISA,24
10-19,MIRIAM,24
10-19,NADIA,23
10-19,ESTER,23
10-19,GLORIA,22
10-19,JASMINE,22
10-19,STELLA,22
10-19,MARIA VITTORIA,21
20-29,GIULIA,715
20-29,SARA,456
20-29,FRANCESCA,443
20-29,CHIARA,424
20-29,MARTINA,355
20-29,ELENA,316
20-29,VALENTINA,316
20-29,ELISA,280
20-29,ELEONORA,257
20-29,LAURA,248
20-29,IRENE,247
20-29,SILVIA,245
20-29,ILARIA,229
20-29,CLAUDIA,213
20-29,FEDERICA,173
20-29,CATERINA,162
20-29,CAMILLA,160
20-29,ALESSANDRA,144
20-29,SERENA,140
20-29,ALICE,139
20-29,COSTANZA,135
20-29,MARTA,135
20-29,VERONICA,130
20-29,BENEDETTA,120
20-29,ALESSIA,120
20-29,CRISTINA,108
20-29,CAROLINA,106
20-29,CARLOTTA,106
20-29,BEATRICE,102
20-29,JESSICA,101
20-29,ANNA,99
20-29,MARGHERITA,93
20-29,VIOLA,90
20-29,GIADA,78
20-29,MARIA,78
20-29,DANIELA,77
20-29,LUCIA,75
20-29,BARBARA,74
20-29,SIMONA,74
20-29,GINEVRA,72
20-29,SOFIA,70
20-29,STEFANIA,69
20-29,ARIANNA,65
20-29,GAIA,64
20-29,VIRGINIA,64
20-29,LETIZIA,62
20-29,ELISABETTA,60
20-29,LISA,57
20-29,DILETTA,56
20-29,VALERIA,55
20-29,BIANCA,55
20-29,DEBORA,53
20-29,LUCREZIA,52
20-29,VANESSA,49
20-29,SABRINA,49
20-29,TERESA,46
20-29,CECILIA,46
20-29,MICHELA,43
20-29,ROBERTA,40
20-29,NOEMI,40
20-29,PAOLA,40
20-29,MARINA,39
20-29,FLAVIA,38
20-29,LAVINIA,38
20-29,ANNALISA,38
20-29,ANGELA,38
20-29,VITTORIA,37
20-29,AMBRA,36
20-29,GIORGIA,35
20-29,MONICA,34
20-29,MADDALENA,34
20-29,MATILDE,34
20-29,REBECCA,34
20-29,LINDA,33
20-29,LUISA,32
20-29,LUDOVICA,32
20-29,SONIA,31
20-29,ERICA,31
20-29,MANUELA,31
20-29,AGNESE,30
20-29,ERIKA,30
20-29,LIVIA,30
20-29,ISABELLA,30
20-29,ANGELICA,28
20-29,GLORIA,27
20-29,GEMMA,27
20-29,RACHELE,25
20-29,GRETA,25
20-29,ANTONELLA,24
20-29,MIRIAM,24
20-29,DEBORAH,23
20-29,DIANA,23
20-29,NICOLETTA,23
20-29,AURORA,23
20-29,GIOVANNA,23
20-29,GIUDITTA,23
20-29,AZZURRA,22
20-29,MARIANA,22
20-29,EVA,22
20-29,ANA MARIA,22
20-29,MARIANNA,21
20-29,SELENE,21
20-29,SUSANNA,21
20-29,ALINA,21
30-39,FRANCESCA,859
30-39,VALENTINA,621
30-39,CHIARA,558
30-39,SILVIA,539
30-39,SARA,487
30-39,ELENA,462
30-39,LAURA,447
30-39,ELISA,420
30-39,CLAUDIA,348
30-39,ILARIA,344
30-39,BARBARA,313
30-39,GIULIA,308
30-39,SERENA,278
30-39,DANIELA,274
30-39,ALESSANDRA,264
30-39,SIMONA,252
30-39,CRISTINA,232
30-39,CATERINA,204
30-39,ELEONORA,201
30-39,STEFANIA,199
30-39,IRENE,180
30-39,MARIA,174
30-39,LUCIA,164
30-39,PAOLA,164
30-39,MONICA,164
30-39,VERONICA,162
30-39,MARTINA,153
30-39,BENEDETTA,150
30-39,FEDERICA,148
30-39,BEATRICE,146
30-39,ANNA,144
30-39,ELISABETTA,140
30-39,ANTONELLA,126
30-39,MICHELA,124
30-39,ANGELA,118
30-39,ALESSIA,115
30-39,LETIZIA,109
30-39,VALERIA,104
30-39,MARTA,103
30-39,COSTANZA,102
30-39,LISA,100
30-39,ROBERTA,100
30-39,MANUELA,100
30-39,SABRINA,96
30-39,CAMILLA,91
30-39,GAIA,87
30-39,GIOVANNA,85
30-39,ANNALISA,85
30-39,ALICE,80
30-39,SONIA,80
30-39,DEBORA,77
30-39,EMANUELA,75
30-39,PATRIZIA,75
30-39,TIZIANA,74
30-39,MARGHERITA,71
30-39,NADIA,70
30-39,CINZIA,70
30-39,ARIANNA,69
30-39,VANESSA,69
30-39,GIADA,69
30-39,MARINA,67
30-39,CECILIA,65
30-39,RAFFAELLA,64
30-39,CARLOTTA,61
30-39,ERIKA,59
30-39,ROSSELLA,56
30-39,NICOLETTA,54
30-39,MARIANNA,54
30-39,EVA,54
30-39,TERESA,53
30-39,MIHAELA,50
30-39,LARA,49
30-39,RITA,47
30-39,SANDRA,47
30-39,CAROLINA,46
30-39,GIUSEPPINA,46
30-39,LINDA,45
30-39,ISABELLA,44
30-39,MADDALENA,41
30-39,TATIANA,40
30-39,KATIA,40
30-39,PAMELA,39
30-39,NICOLETA,38
30-39,NATALIA,38
30-39,ERICA,38
30-39,ILENIA,37
30-39,LUISA,36
30-39,ROSA,36
30-39,CARMELA,35
30-39,MARIANA,35
30-39,DONATELLA,34
30-39,SAMANTHA,34
30-39,JESSICA,33
30-39,VIRGINIA,32
30-39,MIRIAM,32
30-39,DARIA,32
30-39,OLGA,32
30-39,OLIVIA,31
30-39,LOREDANA,31
30-39,CRISTIANA,30
30-39,ANNA MARIA,30
30-39,MARIA TERESA,30
30-39,MARIANGELA,30
30-39,MONIA,29
30-39,SUSANNA,29
30-39,DILETTA,29
30-39,ADRIANA,28
30-39,GABRIELLA,27
30-39,SAMANTA,27
30-39,GABRIELA,26
30-39,SARAH,25
30-39,ROSANNA,25
30-39,ANNAMARIA,24
30-39,CARLA,24
30-39,AGNESE,24
30-39,MARIA GRAZIA,23
30-39,SOFIA,23
30-39,ENRICA,23
30-39,GIORGIA,23
30-39,CARMEN,22
30-39,MARILENA,22
30-39,MARIA CHIARA,22
30-39,GINEVRA,22
30-39,ELVIRA,22
30-39,DENISE,22
30-39,DEBORAH,22
30-39,MARZIA,21
30-39,VANIA,21
40-49,FRANCESCA,1061
40-49,SILVIA,960
40-49,LAURA,854
40-49,BARBARA,735
40-49,PAOLA,637
40-49,CRISTINA,610
40-49,ELENA,591
40-49,ALESSANDRA,534
40-49,SIMONA,511
40-49,MONICA,483
40-49,STEFANIA,482
40-49,DANIELA,479
40-49,SABRINA,441
40-49,CLAUDIA,424
40-49,ILARIA,422
40-49,LUCIA,399
40-49,ELISABETTA,391
40-49,PATRIZIA,378
40-49,CHIARA,339
40-49,ANTONELLA,337
40-49,MARIA,324
40-49,ANNA,319
40-49,ROBERTA,299
40-49,SERENA,270
40-49,VALENTINA,259
40-49,ANGELA,257
40-49,BEATRICE,255
40-49,SONIA,241
40-49,CINZIA,213
40-49,SANDRA,212
40-49,GIOVANNA,195
40-49,TIZIANA,175
40-49,DEBORA,175
40-49,DONATELLA,171
40-49,CATERINA,142
40-49,LETIZIA,142
40-49,CECILIA,139
40-49,SARA,136
40-49,RAFFAELLA,126
40-49,MICHELA,126
40-49,FEDERICA,126
40-49,ANNALISA,126
40-49,ROSSELLA,119
40-49,SUSANNA,117
40-49,ELISA,112
40-49,BENEDETTA,110
40-49,ANNA MARIA,107
40-49,RITA,105
40-49,MANUELA,104
40-49,NICOLETTA,102
40-49,MARINA,97
40-49,VALERIA,96
40-49,ALESSIA,94
40-49,CATIA,93
40-49,COSTANZA,91
40-49,MARIA CRISTINA,90
40-49,ELEONORA,89
40-49,GABRIELLA,88
40-49,LARA,87
40-49,GIUSEPPINA,86
40-49,CRISTIANA,86
40-49,CARLA,86
40-49,MARZIA,85
40-49,GIULIA,85
40-49,VERONICA,82
40-49,ISABELLA,81
40-49,MARTA,79
40-49,EMANUELA,79
40-49,NADIA,77
40-49,TERESA,76
40-49,SIMONETTA,74
40-49,ROSA,74
40-49,LISA,73
40-49,LUISA,70
40-49,GIANNA,69
40-49,CARLOTTA,66
40-49,KATIA,65
40-49,VANESSA,65
40-49,MARIA GRAZIA,64
40-49,ROSANNA,60
40-49,IRENE,58
40-49,MARIANA,57
40-49,ANNAMARIA,57
40-49,GRAZIA,56
40-49,ADRIANA,56
40-49,ARIANNA,56
40-49,ANTONIETTA,56
40-49,CAMILLA,56
40-49,SABINA,53
40-49,GAIA,50
40-49,MARIA TERESA,48
40-49,CARMELA,48
40-49,LUCIANA,46
40-49,LOREDANA,45
40-49,MARTINA,44
40-49,FRANCA,44
40-49,LILIANA,43
40-49,ROSSANA,43
40-49,MADDALENA,43
40-49,ANGELICA,41
40-49,ENRICA,40
40-49,GLORIA,37
40-49,TANIA,37
40-49,EVA,37
40-49,VANIA,36
40-49,MARIA ROSARIA,36
40-49,OLGA,36
40-49,ORNELLA,36
40-49,MONIA,35
40-49,FILOMENA,35
40-49,SILVANA,35
40-49,MIHAELA,34
40-49,GRAZIELLA,33
40-49,LINDA,33
40-49,TATIANA,33
40-49,LORENZA,33
40-49,MARGHERITA,33
40-49,CONCETTA,32
40-49,CAROLINA,32
40-49,ROMINA,32
40-49,PAMELA,31
40-49,MARA,30
40-49,GIULIANA,30
40-49,MARCELLA,29
40-49,TAMARA,29
40-49,CARMEN,28
40-49,DONATA,27
40-49,ANA,27
40-49,LIDIA,27
40-49,ROSALBA,27
40-49,MARIA LETIZIA,27
40-49,NATALIA,26
40-49,MARILENA,26
40-49,LUCILLA,26
40-49,ERIKA,26
40-49,ROSARIA,26
40-49,ANTONIA,26
40-49,GABRIELA,24
40-49,MARIA LUISA,24
40-49,DEBORAH,24
40-49,SVITLANA,24
40-49,LIVIA,24
40-49,MARIA CHIARA,24
40-49,EMILIA,24
40-49,VINCENZA,23
40-49,MAURA,23
40-49,MARIA PAOLA,22
40-49,MIRELA,22
40-49,FULVIA,22
40-49,FLAVIA,21
40-49,DOMENICA,21
40-49,IVANA,21
40-49,FABIOLA,21
50-59,PATRIZIA,741
50-59,PAOLA,653
50-59,ANTONELLA,598
50-59,LUCIA,574
50-59,LAURA,531
50-59,MARIA,530
50-59,SILVIA,506
50-59,DANIELA,503
50-59,ANNA,486
50-59,STEFANIA,455
50-59,ELISABETTA,419
50-59,CRISTINA,412
50-59,ALESSANDRA,373
50-59,DONATELLA,372
50-59,MONICA,365
50-59,CINZIA,346
50-59,ROSSELLA,310
50-59,FRANCESCA,300
50-59,SANDRA,299
50-59,ELENA,295
50-59,SUSANNA,262
50-59,BARBARA,259
50-59,CARLA,254
50-59,ANGELA,251
50-59,GIOVANNA,245
50-59,MANUELA,226
50-59,TIZIANA,217
50-59,GABRIELLA,213
50-59,ANNA MARIA,211
50-59,ROBERTA,198
50-59,SONIA,179
50-59,RITA,175
50-59,MARINA,171
50-59,GIANNA,170
50-59,SIMONETTA,169
50-59,MARIA CRISTINA,155
50-59,SIMONA,152
50-59,FRANCA,143
50-59,GIUSEPPINA,140
50-59,MARIA GRAZIA,130
50-59,CECILIA,125
50-59,MARZIA,125
50-59,ROSA,124
50-59,GRAZIA,122
50-59,ROSSANA,114
50-59,NICOLETTA,108
50-59,ROSANNA,107
50-59,CLAUDIA,103
50-59,CATERINA,100
50-59,SILVANA,98
50-59,LUCIANA,94
50-59,MARIA TERESA,93
50-59,ANNAMARIA,91
50-59,EMANUELA,90
50-59,ISABELLA,83
50-59,LUISA,81
50-59,CHIARA,81
50-59,NADIA,80
50-59,ILARIA,79
50-59,BEATRICE,79
50-59,TERESA,78
50-59,ADRIANA,77
50-59,MARTA,75
50-59,GLORIA,75
50-59,LETIZIA,73
50-59,CARMELA,72
50-59,ANTONIETTA,71
50-59,LORELLA,71
50-59,ROSALBA,70
50-59,VALERIA,70
50-59,LOREDANA,67
50-59,GRAZIELLA,64
50-59,MARISA,62
50-59,SERENA,61
50-59,ANNALISA,59
50-59,MARCELLA,59
50-59,GIULIANA,59
50-59,FIORELLA,57
50-59,MARGHERITA,57
50-59,MIRELLA,55
50-59,LUANA,54
50-59,MARIA LUISA,54
50-59,SABRINA,52
50-59,GIUSEPPA,51
50-59,CONCETTA,50
50-59,EMILIA,50
50-59,MARIELLA,49
50-59,MARIA ANTONIETTA,47
50-59,MARIA PIA,46
50-59,MARIA ROSARIA,45
50-59,ROSARIA,44
50-59,RAFFAELLA,44
50-59,ORNELLA,43
50-59,ELEONORA,43
50-59,IVANA,42
50-59,VINCENZA,42
50-59,MARA,42
50-59,MARIANA,42
50-59,ANTONIA,41
50-59,ENRICA,41
50-59,LILIANA,40
50-59,LIDIA,39
50-59,TAMARA,39
50-59,DONELLA,39
50-59,OLGA,39
50-59,MARILENA,39
50-59,FILOMENA,38
50-59,MICHELA,38
50-59,VANNA,36
50-59,LORENZA,34
50-59,CATIA,33
50-59,CLARA,32
50-59,VALENTINA,32
50-59,BRUNELLA,31
50-59,MARIA GABRIELLA,30
50-59,MARIYA,30
50-59,LORETTA,30
50-59,PIERA,30
50-59,MANOLA,29
50-59,BENEDETTA,29
50-59,MARIANGELA,29
50-59,ELISA,28
50-59,RENATA,28
50-59,MARIA LAURA,28
50-59,SABINA,28
50-59,EDI,28
50-59,MARIA ROSA,27
50-59,MARIA RITA,27
50-59,SARA,27
50-59,SERENELLA,27
50-59,CRISTIANA,27
50-59,MARIA PAOLA,26
50-59,NATALIYA,26
50-59,MARINELLA,26
50-59,DONATA,25
50-59,DOMENICA,25
50-59,BRUNA,25
50-59,TATIANA,25
50-59,MADDALENA,25
50-59,FLAVIA,25
50-59,ANNA RITA,24
50-59,VIVIANA,24
50-59,DIANA,24
50-59,GIULIA,24
50-59,MARIA FRANCESCA,24
50-59,MARIA LETIZIA,24
50-59,MARIA CHIARA,24
50-59,LICIA,23
50-59,TETYANA,23
50-59,LUCILLA,22
50-59,MILENA,22
50-59,HALYNA,22
50-59,VANIA,22
50-59,ASSUNTA,21
50-59,MARIAGRAZIA,21
50-59,ALBA,21
50-59,LORENA,21
50-59,ANA,21
50-59,FULVIA,21
50-59,VALENTYNA,21
60-69,ANNA,788
60-69,MARIA,659
60-69,PATRIZIA,562
60-69,LAURA,542
60-69,PAOLA,541
60-69,DANIELA,517
60-69,CARLA,460
60-69,GABRIELLA,440
60-69,ANNA MARIA,428
60-69,GIOVANNA,391
60-69,FRANCA,377
60-69,LUCIA,365
60-69,ROBERTA,303
60-69,SANDRA,297
60-69,GIANNA,257
60-69,MARIA GRAZIA,230
60-69,SIMONETTA,227
60-69,ELISABETTA,208
60-69,RITA,208
60-69,GIULIANA,207
60-69,SILVANA,200
60-69,LUCIANA,197
60-69,ALESSANDRA,189
60-69,GRAZIA,187
60-69,MARIA CRISTINA,186
60-69,ANGELA,183
60-69,ROSANNA,180
60-69,FRANCESCA,180
60-69,ELENA,179
60-69,ADRIANA,168
60-69,MANUELA,167
60-69,GRAZIELLA,167
60-69,CRISTINA,163
60-69,GIUSEPPINA,161
60-69,SONIA,159
60-69,MARISA,152
60-69,STEFANIA,150
60-69,MIRELLA,143
60-69,MARTA,142
60-69,FIORELLA,139
60-69,LORETTA,132
60-69,ROSA,129
60-69,DONATELLA,120
60-69,MARZIA,118
60-69,MARCELLA,110
60-69,VANNA,109
60-69,LILIANA,100
60-69,SILVIA,100
60-69,MARIA TERESA,97
60-69,MARIA LUISA,97
60-69,ANTONIETTA,94
60-69,TERESA,91
60-69,LUISA,89
60-69,CARMELA,86
60-69,MARA,85
60-69,PIERA,83
60-69,FIORENZA,83
60-69,CATERINA,82
60-69,NICOLETTA,80
60-69,IVANA,77
60-69,BRUNA,77
60-69,BARBARA,76
60-69,EMANUELA,75
60-69,CONCETTA,75
60-69,TIZIANA,74
60-69,LUANA,74
60-69,TAMARA,73
60-69,ISABELLA,72
60-69,ROSALBA,72
60-69,ANTONELLA,71
60-69,MARIELLA,70
60-69,SUSANNA,69
60-69,MARGHERITA,69
60-69,MARIA PIA,68
60-69,LIDIA,68
60-69,ROSSELLA,67
60-69,MARINA,65
60-69,VALERIA,64
60-69,CLARA,63
60-69,ROSSANA,63
60-69,NADIA,60
60-69,RENATA,59
60-69,GIUSEPPA,57
60-69,CECILIA,55
60-69,MERI,53
60-69,LOREDANA,53
60-69,VIVIANA,53
60-69,ANNAMARIA,51
60-69,EMILIA,51
60-69,CLAUDIA,51
60-69,MARIA ANTONIETTA,50
60-69,ANTONIA,50
60-69,GABBRIELLA,49
60-69,GLORIA,46
60-69,RENZA,46
60-69,ORNELLA,44
60-69,FERNANDA,44
60-69,MARIA PAOLA,44
60-69,ANNALISA,43
60-69,MARIA ROSARIA,42
60-69,VINCENZA,42
60-69,MILENA,42
60-69,LORENA,42
60-69,LINA,41
60-69,ROSARIA,41
60-69,ALBA,40
60-69,MAURA,39
60-69,MARIA ROSA,39
60-69,ENRICA,39
60-69,VITTORIA,38
60-69,GIULIA,38
60-69,MANOLA,37
60-69,IDA,36
60-69,RINA,36
60-69,ELEONORA,36
60-69,VILMA,36
60-69,ASSUNTA,35
60-69,SARA,35
60-69,GIGLIOLA,35
60-69,IOLANDA,35
60-69,VERA,34
60-69,OLGA,34
60-69,FILOMENA,34
60-69,BEATRICE,33
60-69,IRENE,33
60-69,LIVIANA,32
60-69,ROSALIA,32
60-69,ROSELLA,32
60-69,ALDA,32
60-69,LIA,31
60-69,ROSETTA,31
60-69,DONELLA,30
60-69,MARIYA,30
60-69,MARIA LAURA,30
60-69,LORIANA,30
60-69,SERENA,29
60-69,MADDALENA,29
60-69,CHIARA,28
60-69,RAFFAELLA,28
60-69,ANTONINA,27
60-69,VANDA,27
60-69,GIULIETTA,27
60-69,FLORA,27
60-69,LICIA,27
60-69,MIRANDA,27
60-69,LUIGINA,27
60-69,ANGELINA,26
60-69,DOMENICA,26
60-69,MONICA,26
60-69,DONATA,25
60-69,MARINELLA,25
60-69,DEANNA,25
60-69,DINA,25
60-69,MIRIAM,25
60-69,MARIA ANGELA,25
60-69,MIRIA,25
60-69,LETIZIA,25
60-69,FIAMMETTA,24
60-69,OMBRETTA,24
60-69,NICCOLETTA,24
60-69,SIMONA,24
60-69,MARIA GIOVANNA,23
60-69,NICLA,23
60-69,ANNUNZIATA,23
60-69,AMELIA,22
60-69,EDI,22
60-69,LORENZA,22
60-69,MORENA,22
60-69,GINA,21
60-69,BRUNELLA,21
60-69,ELSA,21
60-69,MILVIA,21
60-69,MARIA GABRIELLA,21
70-79,MARIA,962
70-79,ANNA,942
70-79,ANNA MARIA,748
70-79,CARLA,679
70-79,PAOLA,534
70-79,FRANCA,474
70-79,GIOVANNA,466
70-79,GABRIELLA,464
70-79,MARIA GRAZIA,383
70-79,GRAZIELLA,341
70-79,GIULIANA,325
70-79,ROBERTA,284
70-79,MARISA,273
70-79,GRAZIA,259
70-79,LAURA,252
70-79,MIRELLA,246
70-79,ROSANNA,241
70-79,LUCIA,236
70-79,ADRIANA,220
70-79,MARTA,219
70-79,MARIA LUISA,215
70-79,SILVANA,205
70-79,MARCELLA,188
70-79,GIUSEPPINA,186
70-79,LUCIANA,171
70-79,ROSA,170
70-79,FRANCESCA,168
70-79,MARIA PIA,163
70-79,ELENA,158
70-79,VANNA,154
70-79,RITA,152
70-79,MARIA TERESA,152
70-79,BRUNA,148
70-79,LILIANA,144
70-79,FIORELLA,138
70-79,LUANA,127
70-79,LUISA,126
70-79,GIUSEPPA,125
70-79,PIERA,125
70-79,GIANNA,123
70-79,ANGELA,118
70-79,TERESA,114
70-79,FIORENZA,114
70-79,LORETTA,112
70-79,SIMONETTA,106
70-79,MARGHERITA,104
70-79,FERNANDA,97
70-79,ANTONIETTA,93
70-79,MARA,92
70-79,LIDIA,87
70-79,CATERINA,83
70-79,RENATA,83
70-79,CARMELA,81
70-79,LINA,79
70-79,VILMA,79
70-79,VITTORIA,78
70-79,PIERINA,77
70-79,CLARA,77
70-79,VALERIA,74
70-79,GABBRIELLA,74
70-79,ANTONIA,73
70-79,MARINA,72
70-79,RINA,71
70-79,MERI,71
70-79,MILVIA,70
70-79,IOLANDA,70
70-79,MILENA,68
70-79,CONCETTA,67
70-79,DINA,67
70-79,ALESSANDRA,66
70-79,MARIA GABRIELLA,65
70-79,LOREDANA,65
70-79,ANNAMARIA,63
70-79,GINA,59
70-79,ADA,58
70-79,ELISABETTA,58
70-79,VANDA,56
70-79,LICIA,55
70-79,ADUA,55
70-79,ANNUNZIATA,55
70-79,GIGLIOLA,54
70-79,ASSUNTA,53
70-79,EMILIA,53
70-79,GIULIA,52
70-79,EMMA,51
70-79,LEDA,51
70-79,MARIA PAOLA,50
70-79,ELDA,50
70-79,MARIA ROSA,50
70-79,ROSSANA,50
70-79,IDA,49
70-79,ALBA,49
70-79,ROMANA,48
70-79,SANDRA,47
70-79,ALDA,46
70-79,RENZA,46
70-79,VERA,44
70-79,SILVIA,44
70-79,OLGA,43
70-79,DONATELLA,42
70-79,MARIA CRISTINA,41
70-79,FLORA,40
70-79,PATRIZIA,39
70-79,EDDA,39
70-79,MIRANDA,39
70-79,ROSARIA,38
70-79,IVANA,37
70-79,NARA,37
70-79,LIANA,37
70-79,RAFFAELLA,36
70-79,VINCENZA,36
70-79,ROSALBA,36
70-79,ENRICA,35
70-79,ROSETTA,34
70-79,MARIA GIOVANNA,34
70-79,ORNELLA,33
70-79,AMELIA,33
70-79,SARA,33
70-79,MANUELA,33
70-79,DANIELA,32
70-79,ANGIOLINA,32
70-79,EMANUELA,32
70-79,ANGELINA,32
70-79,MARIELLA,32
70-79,MARIA ANTONIETTA,32
70-79,ROSITA,31
70-79,ISABELLA,31
70-79,ELSA,31
70-79,NICOLETTA,31
70-79,NADA,31
70-79,LORENA,31
70-79,LORENZA,30
70-79,SONIA,30
70-79,GLORIA,30
70-79,ELISA,30
70-79,ADELE,30
70-79,LUIGINA,30
70-79,NELLA,29
70-79,DOMENICA,29
70-79,EDI,28
70-79,MAURA,28
70-79,FILOMENA,27
70-79,MADDALENA,27
70-79,BIANCA,27
70-79,LUIGIA,27
70-79,ANTONINA,27
70-79,MARZIA,27
70-79,NATALINA,27
70-79,ROSINA,26
70-79,STEFANIA,26
70-79,TAMARA,26
70-79,IRENE,26
70-79,LIA,26
70-79,ITALIA,26
70-79,GERMANA,25
70-79,COSETTA,25
70-79,MARIA VITTORIA,25
70-79,CRISTINA,25
70-79,ALBERTA,25
70-79,CESARINA,25
70-79,IMPERIA,25
70-79,MAFALDA,24
70-79,ELVIRA,24
70-79,LETIZIA,24
70-79,CECILIA,23
70-79,MATILDE,23
70-79,ELIANA,23
70-79,NORMA,23
70-79,LILIA,23
70-79,NADIA,22
70-79,MIRNA,22
70-79,PIA,22
70-79,TINA,21
70-79,NICLA,21
70-79,IRMA,21
70-79,TOSCA,21
70-79,GIULIETTA,21
70-79,AURORA,21
70-79,BARBARA,21
70-79,GEMMA,21
70-79,ROSALIA,21
70-79,ELEONORA,21
80-89,MARIA,715
80-89,ANNA,507
80-89,ANNA MARIA,475
80-89,MARISA,359
80-89,FRANCA,334
80-89,GIULIANA,298
80-89,LILIANA,252
80-89,GRAZIELLA,249
80-89,GIOVANNA,247
80-89,CARLA,223
80-89,BRUNA,213
80-89,MIRELLA,206
80-89,SILVANA,205
80-89,MARCELLA,198
80-89,ADRIANA,182
80-89,MARA,164
80-89,LUCIANA,152
80-89,GIUSEPPINA,145
80-89,IOLANDA,139
80-89,LINA,138
80-89,ELENA,138
80-89,ROSA,136
80-89,LAURA,128
80-89,GINA,127
80-89,RENATA,124
80-89,DINA,123
80-89,MARIA GRAZIA,119
80-89,RINA,117
80-89,FIORENZA,115
80-89,MARIA LUISA,114
80-89,GIUSEPPA,104
80-89,ROSANNA,103
